"sí","yes"
"no","no "
"¿entiende(s)?","do you understand?"
"no entiendo","i don’t understand"
"no (lo) sé","i don’t know"
"no tengo ni idea","i have no idea"
"no hablo español","i don’t speak spanish"
"estoy perdido(a)","i’m lost"
"me llamo","my name is"
"mi nombre es","my name is "
"soy… ","i’m…"
"¿cómo te llamas?","what is your name?"
"(yo) soy de…","i am from…"
"¿cómo está usted?","how are you? (formal)"
"¿cómo estás?","how are you? (informal)"
"¿qué tal?","how are you? (informal) / what’s up?"
"¿cómo te va?","how ‘s it going?"
"¿qué haces?","what are you doing?"
"¿qué pasa?","what ‘s happening?"
"¿y tú?","and you?"
"muy bien","very well"
"así, así","so, so"
"mal","bad"
"como siempre","as always"
"¡de nada!","you’re welcome! / no problem!"
"por favor","please"
"¡perdon!","excuse me!"
"¡disculpe!","excuse me!"
"¡lo siento!","sorry! "
"gracias ","thank you"
"salud","bless you"
"¿qué…?","what?"
"¿quién…?","who?"
"¿cuándo…?","when?"
"¿dónde…?","where?"
"¿por qué…?","why?"
"¿cuál?","which?"
"¿cómo…?","how?"
"Yo","I"
"tú (informal)","you"
"usted (formal)","you"
"él","he"
"ella","she"
"nosotros/nosotras","we"
"ustedes","you all"
"ellos","they"
"ellas(females)","they "
"hola","hello"
"buenos días","good morning"
"buenas tardes","good afternoon"
