にんげん,human 
じんるい,humanity 
ひと,person 
おとこ,male 
おとこのひと,man 
おとこのこ,boy 
おんな,female 
おんなのひと,woman 
おんなのこ,girl 
あかちゃん,baby 
わかもの,"youth, young person "
わたし,"I, myself "
わたくし,"I, myself "
ぼく,"I, myself "
おれ,"I, myself "
あたし,"I, myself "
しょうじょ,girl 
しょうねん,boy 
いしゃ,doctor 
かんごし,nurse 
かんごふ,female nurse 
しかい / はいしゃ,dentist 
せいじか,politician 
べんごし,lawyer 
しょうぼうし,firefighter 
けいさつかん,police officer 
へいし,soldier 
けんちくか,architect 
せんせい,teacher 
きょうし,academic teacher 
かしゅ,singer 
エンジニア,engineer
あし,"foot, leg "
かかと,heel 
すね,shin 
ひざ,knee 
もも,thigh 
あたま,head 
かお,face 
くち,mouth 
くちびる,lips 
は,tooth 
はな,nose 
め,eye 
ひげ,"moustache, beard "
かみ,hair 
みみ,ear 
おなか,stomach 
うで,arm 
ひじ,elbow 
かた,shoulder 
つめ,nail 
て,hand 
てくび,wrist 
てのひら,palm of hand 
ゆび,"finger, toe "
しり,buttocks 
おなか / はら,abdomen 
かんぞう,liver 
きも,liver 
きんにく,muscle 
くび,neck 
こころ,heart [as in feelings] 
こし,"waist, hip "
しんぞう,heart 
せなか,back 
ち,blood 
にく,meat 
はだ,skin 
ひふ,skin 
ほね,bone 
むね,chest 
かぜ,cold [illness] 
げり,diarrhea 
びょうき,illness 
かぞく,family 
りょうしん,parents 
こども,"children, child "
ちち,father 
はは,mother 
つま,wife 
おっと,husband 
あに,older brother 
あね,older sister 
おとうと,younger brother 
いもうと,younger sister 
きょうだい,"brothers, siblings "
しまい,sisters 
そふ,grandfather 
そぼ,grandmother 
まご,grandchild 
おじ,uncle 
おば,aunt 
いとこ,cousin 
めい,niece 
おい,nephew 
いきもの,living creatures 
ばけもの,monster 
どうぶつ,animal 
チーター,cheetah 
いぬ,dog 
ねこ,cat 
うし,cow 
ぶた,pig 
うま,horse 
ひつじ,sheep 
さる,monkey 
ねずみ,"mouse, rat "
とら,tiger 
オオカミ,wolf 
うさぎ,rabbit 
りゅう / たつ,dragon 
しか,deer 
かえる,frog 
がま,toad 
しし,lion 
キリン,giraffe 
ぞう,elephant 
とり,bird 
にわとり,chicken 
すずめ,sparrow 
からす,"crow, raven "
わし,eagle 
たか,"hawk, falcon "
さかな,fish 
たい,red snapper 
えび,"shrimp, lobster "
いわし,sardine 
まぐろ,tuna 
かつお,bonito 
さんま,pike 
あじ,horse mackerel 
さば,mackerel 
イカ,squid 
タコ,octopus 
むし,insect 
ちょう,butterfly 
ガ,moth 
せみ,cicada 
トンボ,dragonfly 
バッタ,grasshopper 
クモ,spider 
ホタル,firefly 
