お腹 / 腹,o-naka
お茶,ocha
スペイン語,supeingo
ゼロ / 零,"rei, zero"
たこ焼き,takoyaki
ドイツ語,doitsugo
バス停,basutei
フランス語,furansugo
一,ichi
一つ,hitotsu
一週間,isshūkan
七,"nana, shichi"
七つ,nanatsu
万,man
万年筆,mannenhitsu
三,san
三つ,mittsu
上,ue
下,shita
下痢,geri
不味い,mazui
両親,ryoushin
中国語,chūgokugo
九,"kyū, ku"
九つ,kokonotsu
乱す,midasu
乱れる,midareru
乾く,kawaku
二,ni
二つ,futatsu
五,go
五つ,itsutsu
人,hito
人参,ninjin
人間,ningen
人類,jinrui
今,ima
今日,kyō
仕える,tsukaeru
代える,kaeru
休む,yasumu
会う,au
会社,kaisha
会議,kaigi
伯母 / 叔母,oba / oba-san
伯父 / 叔父,oji / oji-san
低い,hikui
体育,taiiku
作る / 造る / 創る,tsukuru
使う,tsukau
依頼,irai
俺,"ore, mainly used by males [informal]"
倒れる,taoreru
傘,kasa
備わる,sonawaru
働く,hataraku
僕,"boku, mainly used by males"
億,oku
優れる,sugureru
兄,ani / onī-san
兄弟,kyōdai
先生,sensei
兎,usagi
八,hachi
八つ,yattsu
六,roku
六つ,muttsu
兵士,heishi
内容,naiyō
冷える,hieru
冷たい,tsumetai
冷める,sameru
凄い,sugoi
出掛ける,dekakeru
分,fun
分かれる,wakareru
切る,kiru
切手,kitte
切符,kippu
別れる,wakareru
刺す,sasu
前,mae
勉強,benkyō
動く,ugoku
動物,dōbutsu
化け物,bakemono
北,kita
医者,isha
十,jū
十,tō
千,sen
南,minami
占める,shimeru
及び,oyobi
取る / 撮る / 採る,toru
口,kuchi
古い,furui
台風,taifū
叱る,shikaru
右,migi
向く,muku
向こう,mukō
味噌,miso
和服,wafuku
唇,kuchibiru
喜び,yorokobi
喜ぶ,yorokobu
嗅ぐ,kagu
噛む,kamu
四,"yon, shi"
四つ,yottsu
固まる,katamaru
土,tsuchi
土曜日,do-yōbi
地理,chiri
埋まる,umaru
埋もれる,umoreru
塩,shio
塩,shio
塩っぱい,shoppai
増える,fueru
増す,masu
壊れる,kowareru
売る,uru
変える,kaeru
夕方,yūgata
外れる,hazureru
外国語,gaikokugo
夜,yoru
大きい,ōkii
大根,daikon
天気,tenki
太い,futoi
太る,futoru
太陽,taiyō
夫,otto
女,onna
女の人,onnanohito
女の子,onnanoko
妹,imōto
妻,tsuma
姉,ane / onē-san
姉妹,shimai
始まる,hajimaru
姪,mei
嬉しい,ureshii
子供,kodomo
字,ji
学校,gakkō
孫,mago
安い,yasui
定規,jōgi
実,mi
家,ie
家族,kazoku
寂しい / 淋しい,sabishii
寂しい / 淋しい,samishii
寒い,samui
寝る,neru
封筒,fūtō
小さい,chiisai
小銭,kozeni
少女,shoujo
少年,shounen
尻,shiri
履く,haku
嵐,arashi
工場,kōjō
左,hidari
差す,sasu
布団,futon
帰る / 返る,kaeru
幅,haba
平仮名,hiragana
年,"toshi, nen"
店,mise
座る,suwaru
建築家,kenchikuka
弁護士,bengoshi
弟,otōto
彫刻,chōkoku
役所,yakusho
後,ushiro
従兄弟 / 従姉妹 / 従兄 / 従弟 / 従姉 / 従妹,itoko
得る,eru
御腹,onaka
御飯,gohan
心,kokoro
心臓,shinzō
必要,hitsuyō
怒る,okoru
怖い / 恐い,kowai
悪い,warui
悲しい,kanashii
悲しむ / 哀しむ,kanashimu
情報,jōhō
慰める,nagusameru
戸,to
扉,tobira
手,te
手前,temae
手紙,tegami
手首,tekubi
打つ,utsu
投げる,nageru
折る,oru
持つ,motsu
指,yubi
指す,sasu
捨てる,suteru
掌 / 手の平,te-no-hira
放す / 離す,hanasu
政治家,seijika
教師,kyoushi
数字,sūji
文字,moji
文房具,bunbōgu
料理,ryōri
斜め,naname
新しい,atarashii
新聞,shinbun
日,"hi, nichi"
日曜日,nichi-yōbi
日本語 / 国語,nihongo
日記,nikki
明日,"ashita, asu, myōnichi"
易しい,yasashii
星,hoshi
昨日,"kinō, sakujitsu"
昼,hiru
昼御飯,hirugohan
時,"toki, ji"
時間,jikan
晩,ban
晩御飯,bangohan
晴れ,hare
暦,"koyomi, karendā"
曇り,kumori
曜日,yōbi
書く,kaku
月,"tsuki, gatsu"
月,tsuki
月曜日,getsu-yōbi
服,fuku
朝,asa
朝食,"chōshoku, asagohan"
朝鮮語 / 韓国語,"chōsengo, kankokugo"
木,ki
木曜日,moku-yōbi
未来,mirai
本,hon
札,satsu
机,tsukue
来る,kuru
東,higashi
松,matsu
林檎,ringo
果物,kudamono
柔らかい,yawarakai
栗,kuri
根 / 根っ子,"ne, nekko"
桃,momo
桜,sakura
梅,ume
梨,nashi
椅子,isu
植物,shokubutsu
楽しい,tanoshii
歌う,utau
歌手,kashu
正式,seishiki
歩く,aruku
歯,ha
歯科医 / 歯医者,"shikai, ha-isha"
歴史,rekishi
死ぬ,shinu
殴る,naguru
母,haha / okaa-san
水,mizu
水,mizu
水曜日,sui-yōbi
氷,kōri
決める,kimeru
泣く,naku
泥,doro
泳ぐ,oyogu
洋服,yōfuku
海老,ebi
消しゴム,keshigomu
消防士,shouboushi
減る,heru
湯,yu
湯気,yuge
漢字,kanji
火,hi
火曜日,ka-yōbi
灰色 / 鼠色,"haiiro, nezumiiro"
烏,karasu
烏賊,ika
煙,kemuri
熊,kuma
熱い / 暑い,atsui
爪,tsume
父,chichi / otou-san
片仮名,katakana
牛,ushi
牛乳,gyūnyū
犬,inu
狼,ōkami
猫,neko
猿,saru
獅子,shishi
玄関,genkan
珈琲,kōhī
現れる,arawareru
現在,genzai
理科,rika
甘い,amai
甘蕉,"banana, kanshō"
生きる,ikiru
生き物,ikimono
生む / 産む,umu
甥,oi
男,otoko
男の人,otokonohito
男の子,otokonoko
畳,tatami
疲れる,tsukareru
病気,byōki
痒い,kayui
痛い,itai
白,shiro
百,hyaku
皮膚,hifu
目,me
直す / 治す,naosu
看護婦,kangofu
看護師,kangoshi
眼鏡,megane
着る,kiru
着物,kimono
知る,shiru
砂糖,satō
硬い / 堅い,katai
社会,shakai
祖母,sobo / obaa-san
祖父,sofu / ojii-san
私,watashi
私,watakushi [most formal]
私,"atashi, mainly used by females [softer sounding]"
秋刀魚,sanma
秒,byō
秘密,himitsu
稲,ine
空,sora
空く,aku
空気,kūki
空港 / 飛行場,"kūkō, hikōjō"
窓,mado
立つ,tatsu
竜,"ryū, tatsu"
笑う,warau
筆,fude
筋肉,kin'niku
算数,sansū
米,kome
紐,himo
紙,kami
素晴らしい,subarashii
紫,"murasaki, murasakiiro"
細い,hosoi
終わる,owaru
経済,keizai
結婚,kekkon
絵,e
緑,midori
締める,shimeru
縄,nawa
置く,oku
羊,hitsuji
美しい,utsukushii
美味い / 旨い,umai
美味しい,oishii
耳,mimi
聞く / 聴く,kiku
肉,niku
肌 / 膚,hada
肘,hiji
肝,kimo
肝臓,kanzō
肩,kata
背中,senaka
胸,mune
脛,sune
腕,ude
腰,koshi
腿,momo
膝,hiza
自動,jidō
自動販売機,jidōhanbaiki
自転車,Jitensha
臭い,kusai
良い,"ii, yoi"
色,"iro, shikisai"
芋,imo
花,hana
若い,wakai
若者,wakamono
苦い,nigai
英語,eigo
茎,kuki
茶,cha
茶色,chairo
茸,kinoko
草,kusa
菊,kiku
葉 / 葉っぱ,"ha, happa"
蕃茄,"tomato, banka"
虎,tora
虫,mushi
蚊,ka
蚯蚓,mimizu
蛇,hebi
蛍,hotaru
蛙,kaeru
蛞蝓,namekuji
蛸 / 章魚,tako
蛾,ga
蜘蛛,kumo
蜚蠊,gokiburi
蜜柑,mikan
蜥蜴,tokage
蜻蛉,tonbo
蝉,semi
蝶,chō
蝸牛,katatsumuri
蝿 / 蠅,hae
蟇,gama
血,chi
行く,iku
袋,fukuro
袖,sode
褒める,homeru
襟,eri
西,nishi
西瓜,suika
要る,iru
見る,miru
覚める,sameru
触る,sawaru
触る,sawaru
言う,iu
話す,hanasu
語る,kataru
読む,yomu
警察官,keisatsukan
豆,mame
豚,buta
象,zō
貝,kai
貝殻,kaigara
買う,kau
赤,aka
赤ちゃん,akachan
走る,hashiru
起こる / 興る,okoru
足 / 脚,ashi
踊る,odoru
踵,kakato
蹴る,keru
車 / 自動車,"kuruma, jidōsha"
軽い,karui
辛い,karai
辛い,tsurai
辞書,jisho
込む,komu
近い,chikai
通り,tōri
週,shū
遊ぶ,asobu
過去,kako
道,michi
道路,dōro
遠い,tooi
醤油,shōyu
重い,omoi
野菜,yasai
金,kin
金,"kane, most commonly o-kane"
金属,kinzoku
金曜日,kin-yōbi
釘,kugi
釣り銭 / お釣り,tsurisen / o-tsuri
鉄,tetsu
鉄道,tetsudō
鉛,namari
鉛筆,enpitsu
鉛筆削り,enpitsu-kezuri
銀,gin
銅,dō
鋏,hasami
鍵,kagi
閉める,shimeru
開ける,akeru
間食,"oyatsu, kanshoku"
雀,suzume
集まる,atsumaru
難しい,muzukashii
雨,ame
雪,yuki
雷,kaminari
電気,denki
電車,densha
青,ao
靴,kutsu
靴下,kutsushita
鞄,kaban
音楽,ongaku
頭,atama
顔,kao
風,kaze
風邪,kaze
飛ぶ,tobu
飛蝗,batta
飛行機,hikōki
食べる,taberu
食べ物,tabemono
飲み物,nomimono
飲む,nomu
飽きる,akiru
首,kubi
馬,uma
駅,eki
驚く,odoroku
骨,hone
高い,takai
髪,kami
髭 / 鬚 / 髯,hige
魚,sakana
鮪,maguro
鯖,saba
鯛,tai
鰯,iwashi
鰹,katsuo
鰺,aji
鳥,tori
鶏,niwatori
鷲,washi
鷹,taka
鹿,shika
麒麟,kirin
麦,mugi
黄色,kiiro
黒,kuro
鼠,nezumi
鼻,hana
